iter	RMSE
234	2.360850792
235	2.359731052
236	2.357170413
237	2.355780664
238	2.35412898
239	2.35251724
240	2.345851797
241	2.344409773
242	2.337147228
243	2.332385821
244	2.329887399
245	2.328817803
246	2.327606813
247	2.326383594
248	2.324850452
249	2.322808569
250	2.321419415
251	2.318402871
252	2.316575685
253	2.315106156
254	2.313685282
255	2.311181454
256	2.307325571
257	2.306242952
258	2.300768734
259	2.299729976
260	2.297374787
261	2.295844393
262	2.292501268
263	2.29162525
264	2.290898351
265	2.288783836
266	2.283605605
267	2.282085775
268	2.280726424
269	2.279234958
270	2.277988689
271	2.276725862
272	2.273645664
273	2.268857739
274	2.265348204
275	2.263889821
276	2.261864799
277	2.260931247
278	2.258892647
279	2.257817373
280	2.254642957
281	2.253821637
282	2.252795283
283	2.251633833
284	2.250537699
285	2.248903995
286	2.247464988
287	2.245243887
288	2.242070696
289	2.239106429
290	2.237285879
291	2.236451404
292	2.230917814
293	2.229618073
294	2.228271963
295	2.225296253
296	2.222089302
297	2.220575535
298	2.219677452
299	2.218790754
300	2.217708819
301	2.214140123
302	2.209236388
303	2.208132337
304	2.206458207
305	2.204802621
306	2.203855896
307	2.203051728
308	2.202059014
309	2.201379805
310	2.200309401
311	2.197096719
312	2.195039964
313	2.191583673
314	2.188430723
315	2.187555288
316	2.186578052
317	2.185510367
318	2.182721279
319	2.179029139
320	2.177813876
321	2.1738176
322	2.172777928
323	2.171699446
324	2.168696512
325	2.166665111
326	2.165186229
327	2.163195846
328	2.162310215
329	2.160433356
330	2.159554803
331	2.158893078
332	2.157794998
333	2.156265946
334	2.155584349
335	2.15321851
336	2.151429918
337	2.150257531
338	2.149394869
339	2.147685534
340	2.147001209
341	2.146290021
342	2.14523255
343	2.14421165
344	2.14321845
345	2.138589369
346	2.13797413
347	2.137381697
348	2.135423723
349	2.134781812
350	2.133834212
351	2.131781882
352	2.130563361
353	2.129424668
354	2.128737358
355	2.125999114
356	2.125180077
357	2.12424582
358	2.123026069
359	2.122258097
360	2.121503961
361	2.120421162
362	2.118717073
363	2.118057304
364	2.114519241
365	2.111894827
366	2.110509127
367	2.109960902
368	2.109112097
369	2.108815392
370	2.108152257
371	2.105514681
372	2.105121855
373	2.104105529
374	2.103462533
375	2.102820817
376	2.10187033
377	2.100979536
378	2.100702423
379	2.099732052
380	2.098527333
381	2.095998114
382	2.094839325
383	2.094088157
384	2.093359629
385	2.092773468
386	2.091233932
387	2.090191582
388	2.08868819
389	2.088109278
390	2.087497498
391	2.086089726
392	2.08552579
393	2.084266766
394	2.083486135
395	2.08226791
396	2.080139513
397	2.079661439
398	2.078814446
399	2.077522895
400	2.076936752
401	2.076279668
402	2.074167525
403	2.071737735
404	2.070707953
405	2.069852061
406	2.067532759
407	2.067012557
408	2.066044535
409	2.065372638
410	2.0649798
411	2.064531638
412	2.064129904
413	2.063340938
414	2.061865643
415	2.059811494
416	2.058165933
417	2.056221203
418	2.053985171
419	2.052565825
420	2.051621562
421	2.050041663
422	2.048954419
423	2.04802947
424	2.047335285
425	2.046310771
426	2.04380469
427	2.041309566
428	2.040788066
429	2.040082216
430	2.03889668
431	2.038103551
432	2.037510597
433	2.036723408
434	2.035727612
435	2.033369965
436	2.033027027
437	2.032165669
438	2.031480036
439	2.030635444
440	2.029934106
441	2.029425836
442	2.02838872
443	2.026187096
444	2.024746199
445	2.02396959
446	2.023574958
447	2.023200503
448	2.020726664
449	2.019930094
450	2.019251538
451	2.018412951
452	2.017545351
453	2.015466328
454	2.014564389
455	2.011752813
456	2.010818119
457	2.009998757
458	2.009338503
459	2.007455512
460	2.006459926
461	2.005890932
462	2.005210729
463	2.004931824
464	2.003349415
465	2.001973895
466	2.001493467
467	2.001037999
468	2.000130286
469	1.999675748
470	1.997897357
471	1.996948975
472	1.995888337
473	1.995035502
474	1.992868576
475	1.990959862
476	1.990371072
477	1.989493972
478	1.988888316
479	1.98824412
480	1.987716414
481	1.986854962
482	1.986573733
483	1.985207489
484	1.984525364
485	1.983931851
486	1.983228509
487	1.98262978
488	1.980315659
489	1.979834108
490	1.977840902
491	1.977165961
492	1.975868781
493	1.974839684
494	1.974189844
495	1.972558174
496	1.97022819
497	1.968428168
498	1.967775807
499	1.966452634
500	1.965408177
501	1.965118981
502	1.964666567
503	1.964078149
504	1.961631989
505	1.960634928
506	1.960130901
507	1.959388843
508	1.958841057
509	1.958430061
510	1.957598217
511	1.956977358
512	1.956349164
513	1.955991492
514	1.954596286
515	1.953787602
516	1.953559561
517	1.952287424
518	1.951683836
519	1.950763541
520	1.950259217
521	1.949066852
522	1.948371558
523	1.947825247
524	1.94610484
525	1.945642819
526	1.94526483
527	1.943087902
528	1.942593677
529	1.942160935
530	1.941560083
531	1.939502072
532	1.93674709
533	1.93521162
534	1.934793452
535	1.933972729
536	1.933559311
537	1.932991091
538	1.930976134
539	1.929217812
540	1.928756196
541	1.928129229
542	1.927579003
543	1.927253472
544	1.926848098
545	1.925301998
546	1.923242617
547	1.922390288
548	1.921211427
549	1.921011144
550	1.920370853
551	1.919356225
552	1.918970245
553	1.918689264
554	1.91807236
555	1.916998173
556	1.916437295
557	1.915607117
558	1.915217496
559	1.914417111
560	1.914092432
561	1.913571049
562	1.912999552
563	1.912413845
564	1.91212809
565	1.911820688
566	1.911318199
567	1.909868169
568	1.909231849
569	1.90902912
570	1.908619349
571	1.908030444
572	1.907843196
573	1.907267565
574	1.906649097
575	1.906163174
576	1.905481626
577	1.905102406
578	1.904660111
579	1.904238314
580	1.902731971
581	1.900993682
582	1.900796463
583	1.899068991
584	1.898157448
585	1.896238814
586	1.89586007
587	1.895541398
588	1.895232349
589	1.894550213
590	1.894172727
591	1.89376765
592	1.89203441
593	1.891396718
594	1.890759049
595	1.890554193
596	1.890044427
597	1.887678391
598	1.885669726
599	1.885229994
600	1.883851922
601	1.88331968
602	1.882863788
603	1.882557285
604	1.882294918
605	1.881347614
606	1.880421479
607	1.879929594
608	1.879613883
609	1.878328684
610	1.876244922
611	1.8758238
612	1.875228269
613	1.874686858
614	1.874241916
615	1.872728967
616	1.871773685
617	1.869851082
618	1.86765536
619	1.86742988
620	1.86721979
621	1.865380876
622	1.863900691
623	1.863631722
624	1.862697352
625	1.862074184
626	1.861358975
627	1.859815807
628	1.859257087
629	1.858683144
630	1.857350734
631	1.856667475
632	1.85502762
633	1.854579647
634	1.853704242
635	1.852309771
636	1.851520174
637	1.85123057
638	1.850591684
639	1.850045471
640	1.849716931
641	1.849300038
642	1.849108435
643	1.848872195
644	1.848607123
645	1.848192524
646	1.847431296
647	1.846775898
648	1.846358668
649	1.845638819
650	1.845135922
651	1.843715139
652	1.842358778
653	1.841132387
654	1.840740046
655	1.839227539
656	1.838173039
657	1.83675042
658	1.836447416
659	1.8354277
660	1.8348917
661	1.833519105
662	1.831988405
663	1.830741445
664	1.829500815
665	1.829283456
666	1.828869003
667	1.82857378
668	1.827234083
669	1.826844868
670	1.825824186
671	1.824719517
672	1.824359609
673	1.823323939
674	1.822092882
675	1.821808495
676	1.82051511
677	1.820197889
678	1.819616852
679	1.819333321
680	1.818792408
681	1.817946034
682	1.817659776
683	1.816354681
684	1.815994733
685	1.815633413
686	1.815060412
687	1.81375824
688	1.812853994
689	1.811878712
690	1.811639898
691	1.811182301
692	1.810796515
693	1.810407753
694	1.810010695
695	1.809655947
696	1.80862988
697	1.807511717
698	1.8071255
699	1.806011968
700	1.80569651
701	1.805509287
702	1.805094851
703	1.804766799
704	1.80431859
705	1.804104961
706	1.803568686
707	1.802279279
708	1.801338768
709	1.800936407
710	1.800645813
711	1.800323862
712	1.799744097
713	1.799407119
714	1.797799288
715	1.797393238
716	1.79578233
717	1.795352945
718	1.795116344
719	1.793881308
720	1.7934178
721	1.792595429
722	1.792404112
723	1.791055499
724	1.789914196
725	1.789725646
726	1.78868801
727	1.78830383
728	1.787931247
729	1.787716439
730	1.786768172
731	1.78506126
732	1.784728739
733	1.78442037
734	1.784044073
735	1.782688666
736	1.782166972
737	1.781944886
738	1.781479319
739	1.781130683
740	1.780705458
741	1.77992153
742	1.779415403
743	1.779183211
744	1.778261643
745	1.777746737
746	1.776979926
747	1.775985768
748	1.774821293
749	1.774144824
750	1.773126809
751	1.772643669
752	1.772379649
753	1.772001045
754	1.770797307
755	1.769590207
756	1.768518224
757	1.767490059
758	1.766625991
759	1.765313363
760	1.764891895
761	1.763828026
762	1.763448136
763	1.763120956
764	1.762922555
765	1.762069581
766	1.761463253
767	1.761119349
768	1.760739722
769	1.760346293
770	1.759272456
771	1.758779464
772	1.758653143
773	1.757885146
774	1.756697961
775	1.755755872
776	1.755034552
777	1.753484303
778	1.750410495
779	1.750269465
780	1.749761697
781	1.749244784
782	1.74894165
783	1.748723111
784	1.748034258
785	1.746839934
786	1.746472596
787	1.746296472
788	1.745674133
789	1.744204324
790	1.74385756
791	1.743561809
792	1.742863768
793	1.742292342
794	1.741011843
795	1.740817491
796	1.740388555
797	1.740026284
798	1.739194023
799	1.738059252
800	1.73752668
801	1.736945181
802	1.736603619
803	1.736411312
804	1.734810875
805	1.734528654
806	1.73407911
807	1.733910551
808	1.733602322
809	1.733136753
810	1.732640568
811	1.732483685
812	1.732321457
813	1.73193058
814	1.731675534
815	1.731379864
816	1.731034784
817	1.729566915
818	1.729169473
819	1.72846334
820	1.72814064
821	1.727889236
822	1.727611293
823	1.727301626
824	1.726564035
825	1.726355507
826	1.725985201
827	1.725800219
828	1.725669276
829	1.723951211
830	1.722398957
831	1.722117633
832	1.720902156
833	1.72042009
834	1.720145709
835	1.719731412
836	1.719521758
837	1.719296875
838	1.718723648
839	1.718379085
840	1.717119827
841	1.716891102
842	1.715386694
843	1.714226282
844	1.713956714
845	1.713185796
846	1.712822725
847	1.712643677
848	1.712069708
849	1.711881634
850	1.710838473
851	1.710594713
852	1.709502917
853	1.709201665
854	1.708633312
855	1.708281644
856	1.708104151
857	1.707443718
858	1.707155631
859	1.706475777
860	1.706285325
861	1.706064961
862	1.705780298
863	1.705521376
864	1.704722533
865	1.703939966
866	1.703564112
867	1.703335753
868	1.70294896
869	1.702692154
870	1.701340132
871	1.701150739
872	1.700910566
873	1.700725346
874	1.700572654
875	1.700390893
876	1.699980818
877	1.699812232
878	1.699375154
879	1.699190833
880	1.699104472
881	1.698906206
882	1.698705009
883	1.698250829
884	1.697731387
885	1.697568934
886	1.697141035
887	1.69595511
888	1.695797367
889	1.695239581
890	1.695081386
891	1.694965832
892	1.693823087
893	1.693581267
894	1.692132244
895	1.691963055
896	1.691801078
897	1.69090218
898	1.690536283
899	1.690237906
900	1.689415401
901	1.689158166
902	1.688400068
903	1.687482774
904	1.687303579
905	1.687104682
906	1.686750248
907	1.686397903
908	1.686154643
909	1.685555456
910	1.684964929
911	1.684869949
912	1.683839766
913	1.683084235
914	1.682820642
915	1.682232718
916	1.682012153
917	1.681862118
918	1.681703364
919	1.68059287
920	1.680173618
921	1.678891087
922	1.678653042
923	1.678198829
924	1.677115405
925	1.676722386
926	1.676060449
927	1.675924095
928	1.675369651
929	1.675087996
930	1.674874321
931	1.674418065
932	1.67353188
933	1.673189023
934	1.673001836
935	1.672510775
936	1.672098259
937	1.671653658
938	1.671418648
939	1.67123357
940	1.671032868
941	1.670768894
942	1.670149821
943	1.669096015
944	1.668730087
945	1.668342207
946	1.667312384
947	1.66715571
948	1.66609807
949	1.665371092
950	1.664539073
951	1.663986755
952	1.663643106
953	1.663375975
954	1.662650223
955	1.660769033
956	1.659823218
957	1.659501575
958	1.65803547
959	1.657791049
960	1.656488011
961	1.655729783
962	1.654797646
963	1.654549037
964	1.653696167
965	1.651856355
966	1.650780725
967	1.649995778
968	1.649649428
969	1.64934004
970	1.648694705
971	1.648178177
972	1.647715901
973	1.647009841
974	1.646109364
975	1.645814598
976	1.645525154
977	1.644702919
978	1.644122508
979	1.643690197
980	1.643090396
981	1.64271086
982	1.642473996
983	1.641498861
984	1.640665494
985	1.640499329
986	1.64013104
987	1.639600158
988	1.638432453
989	1.637874241
990	1.636766902
991	1.636328388
992	1.635991532
993	1.635766868
994	1.63529687
995	1.634629822
996	1.634340719
997	1.634149496
998	1.633997013
999	1.633740735
